from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,repeat,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,append,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(delete('1' 8)) 4 8) repeat('0')),-22.727517,10,SEQ,cut,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,4,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,1,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,invert,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,repeat,1
